GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0400000US01,01,Alabama,4874747,*****
0400000US02,02,Alaska,739795,*****
0400000US04,04,Arizona,7016270,*****
0400000US05,05,Arkansas,3004279,*****
0400000US06,06,California,39536653,*****
0400000US08,08,Colorado,5607154,*****
0400000US09,09,Connecticut,3588184,*****
0400000US10,10,Delaware,961939,*****
0400000US11,11,District of Columbia,693972,*****
0400000US12,12,Florida,20984400,*****
0400000US13,13,Georgia,10429379,*****
0400000US15,15,Hawaii,1427538,*****
0400000US16,16,Idaho,1716943,*****
0400000US17,17,Illinois,12802023,*****
0400000US18,18,Indiana,6666818,*****
0400000US19,19,Iowa,3145711,*****
0400000US20,20,Kansas,2913123,*****
0400000US21,21,Kentucky,4454189,*****
0400000US22,22,Louisiana,4684333,*****
0400000US23,23,Maine,1335907,*****
0400000US24,24,Maryland,6052177,*****
0400000US25,25,Massachusetts,6859819,*****
0400000US26,26,Michigan,9962311,*****
0400000US27,27,Minnesota,5576606,*****
0400000US28,28,Mississippi,2984100,*****
0400000US29,29,Missouri,6113532,*****
0400000US30,30,Montana,1050493,*****
0400000US31,31,Nebraska,1920076,*****
0400000US32,32,Nevada,2998039,*****
0400000US33,33,New Hampshire,1342795,*****
0400000US34,34,New Jersey,9005644,*****
0400000US35,35,New Mexico,2088070,*****
0400000US36,36,New York,19849399,*****
0400000US37,37,North Carolina,10273419,*****
0400000US38,38,North Dakota,755393,*****
0400000US39,39,Ohio,11658609,*****
0400000US40,40,Oklahoma,3930864,*****
0400000US41,41,Oregon,4142776,*****
0400000US42,42,Pennsylvania,12805537,*****
0400000US44,44,Rhode Island,1059639,*****
0400000US45,45,South Carolina,5024369,*****
0400000US46,46,South Dakota,869666,*****
0400000US47,47,Tennessee,6715984,*****
0400000US48,48,Texas,28304596,*****
0400000US49,49,Utah,3101833,*****
0400000US50,50,Vermont,623657,*****
0400000US51,51,Virginia,8470020,*****
0400000US53,53,Washington,7405743,*****
0400000US54,54,West Virginia,1815857,*****
0400000US55,55,Wisconsin,5795483,*****
0400000US56,56,Wyoming,579315,*****
0400000US72,72,Puerto Rico,3337177,*****
